,Symbol,Name,Sector,Industry,Type
1354,ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,Finance,Investment Managers,EQUITY
1355,ETON,Eton Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1356,ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central,EQUITY
1357,ETSY,Etsy Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,EQUITY
1358,ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
1359,ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,Finance,Investment Managers,EQUITY
1360,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
1361,EVBG,Everbridge Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,EQUITY
1362,EVBN,Evans Bancorp Inc. Common Stock,Finance,Major Banks,EQUITY
1363,EVC,Entravision Communications Corporation Common Stock,Consumer Discretionary,Advertising,EQUITY
1364,EVCM,EverCommerce Inc. Common Stock,Technology,EDP Services,EQUITY
1365,EVER,EverQuote Inc. Class A Common Stock,Technology,EDP Services,EQUITY
1366,EVF,Eaton Vance Senior Income Trust Common Stock,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1367,EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers,EQUITY
1368,EVGO,EVgo Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,EQUITY
1369,EVGOW,EVgo Inc. Warrants,Consumer Discretionary,Catalog/Specialty Distribution,EQUITY
1370,EVH,Evolent Health Inc Class A Common Stock,Health Care,Managed Health Care,EQUITY
1371,EVI,EVI Industries Inc.  Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1372,EVLO,Evelo Biosciences Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,EQUITY
1373,EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,Technology,Security Systems Services,EQUITY
1374,EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services,EQUITY
